ID,SC,Level,Synopsis,Understanding,Links,Summary,Environment,Issue,Testing,Screengrab,ProductNote,Labels,Impact,Status,Assignment,Implementation,Notes,JIRA,Estimate
A11YCHAT012,2.1.1: Keyboard,A,Accessible by keyboard only,https://www.w3.org/WAI/WCAG22/Understanding/keyboard,https://app.brazenconnect.com/app/events/LrqwkhD#!booth;eventCode=LrqwkhD;boothCode=text-chat  (Session Only),Booth Disclosure Button Not Keyboard Accessible,"Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS","There is a disclosure in chat, below ""Settings"", which is not accessible at all to keyboard users. Please ensure this is built and behaves like other disclosures in the application in that it is marked-up as a button and includes the proper state toggle in the form of _aria-expanded_. A heading must also not be included here, so please remove this.","Verify that disclosure is now built properly, and that heading is removed.","https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT012.png ",,"""HE_Chat"", ""S4_Low"", ""Effort_Medium"", ""Issue_Disclosure"", ""Specialist_Support""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YCHAT013,3.3.2: Labels or Instructions,A,Label elements and give instructions,https://www.w3.org/WAI/WCAG22/Understanding/labels-or-instructions,https://app.brazenconnect.com/app/events/LrqwkhD#!booth;eventCode=LrqwkhD;boothCode=open-network-text-vide-chat (Session Only),"""Locked/Unlocked"" Switch Missing Accessible Name","Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS","The ""Locked/Unlocked"" component is missing an accessible name

The ""Locked/Unlocked"" switch is missing an accessible name. Please add an accessible name to the label (which is currently a span) element via the _for_ attribute.

*Before*

{code}<div class=""toggle-wrapper lock-toggle-wrapper append-label has-icon"" style="""" data-original-title="""" title="""">

    <span style="""">Locked</span>

    <input type=""checkbox"" value=""on"" role=""switch"">

</div>{code}

*After*

{code}<div class=""toggle-wrapper lock-toggle-wrapper append-label has-icon"" style="""" data-original-title="""" title="""">

    <label for=""input-locked"" style="""">Locked</span>

    <input type=""checkbox"" id=""input-locked"" value=""on"" role=""switch"">

</div>{code}

Related to A11YGLOBAL015.",Verify that input element now included an accName.,"https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT013.png",,"""HE_Chat"", ""S4_Low"", ""Effort_Easy"", ""Issue_ToggleSwitch"", ""Issue_accName""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YCHAT014,2.1.1: Keyboard,A,Accessible by keyboard only,https://www.w3.org/WAI/WCAG22/Understanding/keyboard,https://app.brazenconnect.com/app/events/LrqwkhD#!booth;eventCode=LrqwkhD;boothCode=open-network-text-vide-chat (Session Only),"""Locked/Unlocked"" Switch Should Be Rebuilt","Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS","The ""Locked/Unlocked"" component appears to have many additional accessibility issues outside of a missing label. As has been cited elsewhere within the application for similar issues regarding switches and custom radio buttons, this component also appears to have keyboard focus, mislabeling, and poor ARIA implementation issues. The auditor would like to circle around to this one to provide more detailed direction towards the end of this remediation phase. Please assign back to Michael Spellacy when the time comes so that he can provide further insight on this one. Likely we will need to follow a similar path as recommended here: https://www.w3.org/WAI/ARIA/apg/patterns/switch/ 

Here is a snapshot of the code for future reference. 

{code}<div class=""toggle-wrapper lock-toggle-wrapper append-label has-icon"" style="""" data-original-title="""" title="""">

    <span style="""">Locked</span>

    <div class=""bootstrap-switch bootstrap-switch-wrapper bootstrap-switch-animate bootstrap-switch-on"" style=""width: 53.9974px;"">

        <div class=""bootstrap-switch-container"" style=""width: 87.9948px; margin-left: 0px;"">

            <span class=""bootstrap-switch-handle-on bootstrap-switch-primary"" style=""width: 33.9974px;"">ON</span>

            <span class=""bootstrap-switch-label"" style=""width: 20px;"">&nbsp;</span>

            <span class=""bootstrap-switch-handle-off bootstrap-switch-default"" style=""width: 33.9974px;"">OFF</span>

            <input type=""checkbox"" value=""on"" role=""switch"">

        </div>

    </div>

    <i class=""material-icons"" aria-hidden=""true"">lock</i>

</div>{code}

Related to A11YGLOBAL015.",TBD,"https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT014.png",,"""HE_Chat"", ""S4_Low"", ""Effort_Difficult"", ""Issue_ToggleSwitch"", ""Issue_accName"", ""Specialist_Support""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YCHAT015,3.3.2: Labels or Instructions,A,Label elements and give instructions,https://www.w3.org/WAI/WCAG22/Understanding/labels-or-instructions,https://app.brazenconnect.com/app/events/LrqwkhD#!booth;eventCode=LrqwkhD;boothCode=open-network-text-vide-chat (Session Only),"Use More Relevant Label on ""Participants"" Button","Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS","Please change the label of the button in the video bar marked ""People"" to ""Participants"",",Verify that element now has relevant label.,"https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT015.png",,"""HE_Chat"", ""S4_Low"", ""Effort_Easy"", ""Issue_accName""",Moderate,Fail,Product Support,Failed in Preview,,,0
A11YCHAT016,2.1.1: Keyboard,A,Accessible by keyboard only,https://www.w3.org/WAI/WCAG22/Understanding/keyboard,https://app.brazenconnect.com/app/events/LrqwkhD#!booth;eventCode=LrqwkhD;boothCode=open-network-text-vide-chat (Session Only),Consider Removing Extraneous Button (Or Hide It from Assistive Technology),"Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS","In the ""Chat Participants"" dialog, there is a visual button present with no known purpose. The only change I see is in revealing the ""Bring to Focus"" button when I hover over the name of the participant, I am therefore wondering why it is even needed. Why not just have the ""Bring to Focus"" button always present, negating the need for a superfluous button. Regardless, since it appears to be useless and purely aesthetic in nature, please be sure to hide it from all assistive technologies by adding _aria-hidden=""true""_ to it and _tabindex=""-1""_.",Verify that extraneous button is properly hidden from assistive technology.,"https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT016.png",,"""HE_Chat"", ""S4_Low"", ""Effort_Easy"", ""Issue_Dialog""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YCHAT017,2.1.1: Keyboard,A,Accessible by keyboard only,https://www.w3.org/WAI/WCAG22/Understanding/keyboard,https://app.brazenconnect.com/app/events/LrqwkhD#!booth;eventCode=LrqwkhD;boothCode=open-network-text-vide-chat (Session Only),"""End This Chat for All?"" Improvements Required","Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS","I think that the ""End This Chat For All?"" feature would be better served to disabled and non-disable users alike, as a dialog. Since we are being asked to make a choice, this is usually the best interface type for such a decision. This is more of a best recommendation than an accessibility issue, so if we have to backburner it (for now), that is fine. I would strongly consider it though.",TBD,"https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT017.png",,"""HE_Chat"", ""S4_Low"", ""Effort_Easy"", ""Issue_Dialog""",Serious,Fail,Product Support,Failed in Preview,,,0
A11YCHAT018,2.1.1: Keyboard,A,Accessible by keyboard only,https://www.w3.org/WAI/WCAG22/Understanding/keyboard,https://app.brazenconnect.com/app/events/LrqwkhD#!booth;eventCode=LrqwkhD;boothCode=text-video-audio (Session Only),Tabindex Found on Non-Interactive Element (Clock Component),"Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS","The clock component appears to be accessible via keyboard. This is a non-interactive element and so it should not be accessible, nor is it required to be accessible via keyboard because of the role that is present (timer). Please remove _tabindex=""0""_. 

*Before* 

{code}<div role=""timer"" tabindex=""0"">

    <p class=""chat-time""><i class=""material-icons time-left-icon"" aria-hidden=""true"">timer</i> <span class=""time"" id=""COUNT_DOWN_BOX_WIDGET_TIME_LEFT_HEADING"">76:48</span></p>

</div>{code}

*After*

{code}<div role=""timer"">

    <p class=""chat-time""><i class=""material-icons time-left-icon"" aria-hidden=""true"">timer</i> <span class=""time"" id=""COUNT_DOWN_BOX_WIDGET_TIME_LEFT_HEADING"">76:48</span></p>

</div>{code}",Verify that extraneous _tabindex_ is removed and that the element no longer receives focus when tabbing.,"https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT018.png",,"""HE_Chat"", ""S4_Low"", ""Effort_Easy"", ""Issue_Tabindex""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YCHAT020,2.1.1: Keyboard,A,Accessible by keyboard only,https://www.w3.org/WAI/WCAG22/Understanding/keyboard,https://app.brazenconnect.com/app/events/LrqwkhD#!booth;eventCode=LrqwkhD;boothCode=text-video-audio (Session Only),"""Emoticons"" Button Is Not Accessible","Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS","The button that opens the emotions panel is not accessible to keyboard users. Until this issue has been resolved, no further testing on this portion of the chat can be conducted. Ideally, this component should be a button, with proper _aria-expanded_ and _aria-controls_ attributes, etc.",TBD,"https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT020.png",,"""HE_Chat"", ""S4_Low"", ""Effort_Medium"", ""Issue_Disclosure"", ""Specialist_Support""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YCHAT021,3.3.2: Labels or Instructions,A,Label elements and give instructions,https://www.w3.org/WAI/WCAG22/Understanding/labels-or-instructions,https://app.brazenconnect.com/app/events/LrqwkhD#!booth;eventCode=LrqwkhD;boothCode=text-video-audio (Session Only),"""Edit Your Greeting Textarea"" Missing Accessible Name","Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS","In the ""Edit Your Greeting"" dialog, the _textarea_ is missing an accessible name. Please be sure to include a visible label above the field and to also bind it programmatically to the field using the _for_ attribute. For example: 

In the ""Edit Your Greeting"" dialog, the _textarea_ field is missing a visible label (and therefore an accessible name). Please be sure to include a _label_ element and include a _for_ attribute that ties to the corresponding _textarea_. For example: 

{code}<label for=""greeting"">Greeting</label>

<textarea id=""greeting"" … ></textarea>{code}",Verify that _textarea_ now has a visible and correctly programmed accName.,"https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT021.png",,"""HE_Chat"", ""S4_Low"", ""Effort_Easy"", ""Issue_Dialog"", ""Issue_accName""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YCHAT022,2.1.1: Keyboard,A,Accessible by keyboard only,https://www.w3.org/WAI/WCAG22/Understanding/keyboard,https://app.brazenconnect.com/app/events/LrqwkhD#!booth;eventCode=LrqwkhD;boothCode=text-video-audio (Session Only),"""Learn More"" Link (Button) Not Keyboard Accessible","Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS","The ""Learn More"" link under ""Settings"" is not keyboard accessible. Please investigate further and ensure that that component can be focused on, includes a state via _aria-expanded_ and that state is toggled between _true_ and _false_ when opened and closed. Please also replace this link with a _button_element as assisitve technology users have certain expectation as to how disclosures should work. Links take us places, buttons do things (like show disclosures).","Verify that ""Learn More"" component is built, and functions as requested.","https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT022.png
",,"""HE_Chat"", ""S4_Low"", ""Effort_Easy"", ""Issue_Disclosure""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YCHAT023,3.3.2: Labels or Instructions,A,Label elements and give instructions,https://www.w3.org/WAI/WCAG22/Understanding/labels-or-instructions,https://app.brazenconnect.com/app/events/LrqwkhD#!booth;eventCode=LrqwkhD;boothCode=text-video-audio (Session Only),"Video ""More"" Button Missing Accessible Name","Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS","The ""More"" button in the upper right corner of a video chat, lacks an accessible name. What I hear when I access it is ""more_vert"", which appears to be the name of the icon, which should be hidden. The button should also convey its state, via _aria-expanded_.

*Before* 

{code}<button type=""button"" class=""btn btn-default btn-material dropdown-toggle"" data-toggle=""dropdown""><i class=""material-icons"" style=""font-weight: bolder;"">more_vert</i><div aria-hidden=""true"" style=""display: none;""><div class=""spinner-wrapper white""><svg class=""spinner"" width=""24px"" height=""24px"" viewBox=""0 0 66 66"" xmlns=""http://www.w3.org/2000/svg""><circle class=""path"" fill=""none"" stroke-width=""6"" stroke-linecap=""round"" cx=""33"" cy=""33"" r=""30""></circle></svg><span>Loading ...</span></div></div> <span class=""caret"" aria-hidden=""true"" style=""display: none;""></span></button>{code}

*After*

{code}<button aria-label=""More Options"" aria-expanded=""false"" type=""button"" class=""btn btn-default btn-material dropdown-toggle"" data-toggle=""dropdown""><i aria-hidden=""true"" class=""material-icons"" style=""font-weight: bolder;"">more_vert</i></button>{code}

*TODO*

1. Give the button an accessible name. Using _aria-label=""More Options""_. 

2. Add _aria-expanded_ and ensure that it toggles between _true_ and _false_ when continually pressed and content is revealed and hidden.

3. Hide the icon using _aria-hidden=""true""_.

4. Optional: Remove any extraneous attributes and elements that should not be there. For example, this button does not require a loader, etc.","Verify that ""More"" component is built, and functions as requested and includes an accName and that icon text is no longer be read back to assistive technology, like screen readers.","https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT023.png
",,"""HE_Chat"", ""S4_Low"", ""Effort_Easy"", ""Issue_Disclosure"", ""Issue_accName""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YCHAT024,3.3.2: Labels or Instructions,A,Label elements and give instructions,https://www.w3.org/WAI/WCAG22/Understanding/labels-or-instructions,https://app.brazenconnect.com/app/events/LrqwkhD#!booth;eventCode=LrqwkhD;boothCode=text-video-audio (Session Only),"""Video Settings"" Fields Missing Accessible Name","Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS","The ""Input/Output Devices"" section in ""Video Settings"" has a few form fields with no accessible names. While the labels are present, they are not programmatically tied to each field. This can be achieved by using the _for_ attribute to point to the ID of the _input_, _select_, or _textarea_ elements. For example: 

{code}<label for=""camera"">Camera</label>

<select id=""camera"">

…. 

</select>{code}",Verify that fields now have a correctly programmed accName.,"https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT024.png
",,"""HE_Chat"", ""S4_Low"", ""Effort_Easy"", ""Issue_accName""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YCHAT025,2.1.1: Keyboard,A,Accessible by keyboard only,https://www.w3.org/WAI/WCAG22/Understanding/keyboard,https://app.brazenconnect.com/app/events/LrqwkhD#!booth;eventCode=LrqwkhD;boothCode=text-video-audio (Session Only),"""Virtual Backgrounds"" Not Keyboard Accessible","Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS","The ""Virtual Backgrounds"" component is entirely inaccessible to keyboard users. We will need to evaluate this further as a team and figure out next steps.",TBD,"https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT025.png
",,"""HE_Chat"", ""S4_Low"", ""Effort_Difficult"", ""Specialist_Support""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YCHAT026,2.1.1: Keyboard,A,Accessible by keyboard only,https://www.w3.org/WAI/WCAG22/Understanding/keyboard,https://app.brazenconnect.com/app/events/LrqwkhD#!booth;eventCode=LrqwkhD;boothCode=text-video-audio,"Remove Tabindex from ""Chat Title"" and ""Connectivity"" Elements","Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS","On the ""Chat Title"" and ""Connectivity"" elements, please remove _tabindex=""0""_. Tabindexes should not exist on non-interactive elements. ",Verify that extraneous _tabindex_ is removed and that the element no longer receives focus when tabbing.,"https://radancy.dev/a11y/audit/client/hiring-events/screengrab/A11YCHAT026.png",,"""HE_Chat"", ""S4_Low"", ""Effort_Easy"", ""Issue_Tabindex""",Critical,Fail,Product Support,Failed in Preview,,,0
