ID,SC,Level,Synopsis,Understanding,Links,Summary,Environment,Issue,Testing,Screengrab,ProductNote,Labels,Impact,Status,Assignment,Implementation,Notes,JIRA,Estimate
A11YERP011,2.1.1: Keyboard,A,Accessible by keyboard only,https://www.w3.org/WAI/WCAG22/Understanding/keyboard,https://referrals.radancy.com/dashboard/jobs/active,Jobs: Personal Referral Copy Feature Not Keyboard Accessible,"Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS, MacOS, Safari, VoiceOver","The *Personal Referral* component is not accessible to keyboard. Please make this a _button_ element instead and then adjust style as needed. A _button_ is *always* the best approach as it has all the roles, interactivity, and expectations built in, with no extra effort required to make fully accessible. In addition to making this a _button_, let's also include a label with a value of *Copy URL* or similar. 
 
*Before:* 
 
<div _ngcontent-ng-c3573690564="""" class=""personal-referral-link__display""><span _ngcontent-ng-c3573690564="""">https://hyperdriveinnovations.qa-1brd.com/r/BPKGURWB</span><ic-copy _ngcontent-ng-c3573690564="""" class=""ic"" style=""color: rgb(73, 98, 241);"">...</ic-copy></div>
 
*After:*
 
<button _ngcontent-ng-c3573690564="""" aria-label=""Copy URL"" class=""personal-referral-link__display""><span _ngcontent-ng-c3573690564="""">https://hyperdriveinnovations.qa-1brd.com/r/BPKGURWB</span><ic-copy _ngcontent-ng-c3573690564="""" class=""ic"" style=""color: rgb(73, 98, 241);"">...</ic-copy></button>
 
Later, it may be beneficial to layer in more for assistive technology users, like _aria-pressed_, but we can omit this for now.",Ensure that componet is now accessible to keyboard use. Pressing it should copy the link just like a mouse press can.,https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP011.png,,"ERP_Global_Issue"", ""S4_Low"", ""Effort_Easy""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YERP012,1.3.1: Info and Relationships,A,"Semantic markup is used appropriately. Logical structure, etc. ", https://www.w3.org/WAI/WCAG22/Understanding/info-and-relationships ,https://referrals.radancy.com/dashboard/leaderboard,Leaderboard: Presented Information Should Be Tabular Data,"Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS, MacOS, Safari, VoiceOver","The product team should strongly consider changing the Leaderboard data to be tabular as this will be much more navigable and read better to assistive technology users. While it visually looks like a table it is not structurally represented as one and really should be.
 
Please coordinate with Michael Spellacy before sprint planning to determine the best implementation approach.",TBD,https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP012.png,,"ERP_Global_Issue"", ""S4_Low"", ""Effort_Medium"", ""Specialist_Support""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YERP013,2.4.2: Page Titled,A,Use helpful and clear page titles,https://www.w3.org/WAI/WCAG22/Understanding/page-titled,"https://hyperdriveinnovations.qa-1brd.com/dashboard/job-form

https://hyperdriveinnovations.qa-1brd.com/dashboard/reward-shop/list 

https://hyperdriveinnovations.qa-1brd.com/job/40f9d25a-e57f-4e27-9d09-70ea567699b5?referralId=6aba2273-597f-4200-bba2-0bf5722d8349&referraltoken=l3rskskmoc07 (Additional Information) 

https://hyperdriveinnovations.qa-1brd.com/job/40f9d25a-e57f-4e27-9d09-70ea567699b5?referralId=6aba2273-597f-4200-bba2-0bf5722d8349&referraltoken=l3rskskmoc07 (Congratulations) ",Global: Multiple Pages Require More Descriptive Titles,"Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS, MacOS, Safari, VoiceOver","The following page(s) have generic and non-descriptive title element(s). Page titles should always reflect the primary heading on the page as closely as possible. For example, on the ""Create New Job"" page, the primary heading (currently an _h2_, that will eventually be an h1) says ""Create a New Job"", while the title has a generic ""Employee Referral"". Having better page titles helps assistive technology users understand what tab they are in, etc. Please address cited page(s).","Review all pages for proper heading structure. Headings should next, be in correct order, and not skipped. ",https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP013.png,,"ERP_Global_Issue"", ""S4_Low"", ""Effort_Easy""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YERP014,2.1.1: Keyboard,A,Accessible by keyboard only,https://www.w3.org/WAI/WCAG22/Understanding/keyboard,https://hyperdriveinnovations.qa-1brd.com/dashboard/job-form,Global: Custom Disclosure with Predictive Search Require More Work,"Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS, MacOS, Safari, VoiceOver","The disclosure buttons with custom input elements with predictive search are _very_ problematic and require further review. Please assign this ticket back to Michael Spellacy for further analysis and guidance. 
 
*General Issues*
 
1. Buttons receive focus, but there is no state announced when pressing them. Here, _aria-expanded_ will be required.
 
2. When disclosure is opened the next tab stop should be within the input field and then subsequent tab stops should jump into the list below the input. However, these listing do not appear to be interactive. Instead, my focus moves to next interactive element _outside_ of disclosure before returning to the input field in the disclosure. Likely the disclosures are at the bottom of the page, rather than directly below the button. If we cannot move these disclosures, then focus management will be required. 
 
3. Overall, the accessibility of the component is so poor, it is recommended that a different disclosure component, with predictive search be used, etc., but we will revisit this.

*Note:* Component used in multiple locations across application. ",TBD,"https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP014-A.png 

https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP014-B.png ",,"ERP_Global_Issue"", ""S4_Low"", ""Effort_Difficult""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YERP015,1.1.1: Non-text Content,A,Provide text alternatives for non-text content,https://www.w3.org/WAI/WCAG22/Understanding/non-text-content,https://referrals.radancy.com/jobs?st=g69f13mop3fg,Multiple Jobs Landing: Company Logo Missing Alternative Text,"Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS, MacOS, Safari, VoiceOver","The client logo in the header is missing an alt text attribute and value. This is an informative image, so it should be described to the user.
 
*Before:* 
 
{code}<img width=""182"" height=""45"" src=""https://api.1brd.com/v1/companies/ce9bf599-f0b4-4a9e-969a-25df747610a9/logo"" style=""border-radius: 3px;"">{code} 
 
*After:* 
 
{code}<img alt=""Radancy logo"" width=""182"" height=""45"" src=""https://api.1brd.com/v1/companies/ce9bf599-f0b4-4a9e-969a-25df747610a9/logo"" style=""border-radius: 3px;"">{code}",Ensure that image now includes an alt attribute with proper value. ,https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP015.png,,"ERP_Global_Issue"", ""S4_Low"", ""Effort_Easy"", ""Multiple_Jobs_Landing""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YERP016,1.1.1: Non-text Content,A,Provide text alternatives for non-text content,https://www.w3.org/WAI/WCAG22/Understanding/non-text-content,https://referrals.radancy.com/jobs?st=g69f13mop3fg,Multiple Jobs Landing: Hero Banner Missing Alternative Text,"Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS, MacOS, Safari, VoiceOver","The ""hero"" banner at the top of the page has text in it and therefore requires that alternative text be provided. Is there a field in the admin tool that permits alternative text in images? Regardless, if an image does not require alternative text, a ""null alt"" should be present by default. 
 
*Before:*
 
{code}<img class=""jobs-advert-list_intro_img"" src=""https://cdn.1brd.com/job-branding/company:ce9bf599-f0b4-4a9e-969a-25df747610a9/job-branding:c40ff81d-4e1c-48e2-a0c6-ac45410aa42b/job-headers/1440x470/313803df-acf6-4252-8d2d-43ff4052ef33.jpeg"">{code}
 
*After:*
 
{code}<img alt=""Connected Careers: Advance your career with the talent technology leader."" class=""jobs-advert-list_intro_img"" src=""https://cdn.1brd.com/job-branding/company:ce9bf599-f0b4-4a9e-969a-25df747610a9/job-branding:c40ff81d-4e1c-48e2-a0c6-ac45410aa42b/job-headers/1440x470/313803df-acf6-4252-8d2d-43ff4052ef33.jpeg"">{code}
 
*After (No Alt Text):*
 
{code}<img alt="""" class=""jobs-advert-list_intro_img"" src=""https://cdn.1brd.com/job-branding/company:ce9bf599-f0b4-4a9e-969a-25df747610a9/job-branding:c40ff81d-4e1c-48e2-a0c6-ac45410aa42b/job-headers/1440x470/313803df-acf6-4252-8d2d-43ff4052ef33.jpeg"">{code}",Ensure that image now includes an alt attribute with proper value. ,https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP016.png,,"ERP_Global_Issue"", ""S4_Low"", ""Effort_Easy"", ""Multiple_Jobs_Landing""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YERP017,1.3.1: Info and Relationships,A,"Semantic markup is used appropriately. Logical structure, etc. ", https://www.w3.org/WAI/WCAG22/Understanding/info-and-relationships ,https://referrals.radancy.com/jobs?st=g69f13mop3fg,Multiple Jobs Landing: Page Missing Primary Heading (H1),"Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS, MacOS, Safari, VoiceOver","Please change the ""Jobs at Radancy"" heading, which is currently an _h2_, to an _h1_. Upon changing this to an _h1_ please ensure that lower headings are also updated to avoid skipped headings, which is not allowed. Proper heading structure and hierarchy help aid the overall understanding of the page. Getting basic HTML correct is the best thing one can do for their application in regard to accessibility. 
 
*Before:*
 
{code}<h2 class=""jobs-advert-list_intro_title"">Jobs at Radancy</h2>{code}
 
*After:*
 
{code}<h1 class=""jobs-advert-list_intro_title"">Jobs at Radancy</h1>{code}",Ensure that current heading is now an _h1_. Run page through Axe to see if any heading issues continue to be reported. ,https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP017.png,,"ERP_Global_Issue"", ""S4_Low"", ""Effort_Easy"", ""Multiple_Jobs_Landing""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YERP018,3.1.1: Language of Page,A,Page has a language assigned,https://www.w3.org/WAI/WCAG22/Understanding/language-of-page,https://referrals.radancy.com/jobs?st=g69f13mop3fg,Multiple Jobs Landing: Page Missing Language Declaration,"Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS, MacOS, Safari, VoiceOver","The opening _html_element is missing a _lang_ attribute. 
 
When configuring a screen reader, users select a default language. If the language of a webpage or app is not specified, the screen reader assumes the default language set by the user. Language settings become an issue for users who speak multiple languages and access website in more than one language. It is essential to specify a language and ensure that it is valid, so website text is pronounced correctly.
 
Screen readers use different sound libraries for each language, based on the pronunciation and characteristics of that language. Screen readers can switch between these language libraries easily, but only if the documents specify which language(s) to read and when. If the language is not specified, the screen reader reads the document in the user's default language, resulting in a strange accent! It is impossible to understand anything when screen readers are using the wrong language library.","Ensure that a _lang_ attribute is present on the opening HTML element. Be sure that it includes the proper, default language value (en or en-US). If the application is ever tanslated, it must contain proper ISO 639-1 language codes.",https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP018.png,,"ERP_Global_Issue"", ""S4_Low"", ""Effort_Easy"", ""Multiple_Jobs_Landing""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YERP019,1.4.4: Resize text,AA,Text can be resized to 200% without loss of content or function,https://www.w3.org/WAI/WCAG22/Understanding/resize-text,https://referrals.radancy.com/jobs?st=g69f13mop3fg,Multiple Job Landing: Meta Element Parameter Restricing Page Zoom,"Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS, MacOS, Safari, VoiceOver","The _user-scalable=""no""_ parameter inside the content attribute of _<meta name=""viewport"">_ element disables zooming on a page. The _maximum-scale parameter_ limits the amount the user can zoom. This is problematic for people with low vision who rely on screen magnifiers to properly see the contents of a web page. To remedy, please remove _user-scalable=""no""_. 
 
*Before:* 
 
{code}<meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no, viewport-fit=cover"">{code} 
 
*After:* 
 
{code{<meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1, viewport-fit=cover"">{code}","Verify that _user-scalable=""no""_ has been removed. Validate in Axe and also test with screen mgnification or mobile to see if user can zoom, etc.  ",https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP019.png,,"ERP_Global_Issue"", ""S4_Low"", ""Effort_Easy"", ""Multiple_Jobs_Landing""",Critical,Fail,Product Support,Failed in Preview,,,0
A11YERP020,"4.1.2: Name, Role, Value",A,Build all elements for accessibility,https://www.w3.org/WAI/WCAG22/Understanding/name-role-value,https://referrals.radancy.com/jobs?st=g69f13mop3fg,Multiple Job Landing: Remove Navigation Role From Header,"Chrome & Firefox: Latest Versions, Windows 11, NVDA, JAWS, MacOS, Safari, VoiceOver","Please remove _role=""navigation_ from the _header_ element. Overriding an element’s native role should be done rarely and with justified purpose and is generally not allowed. This is clearly a header and not a navigation. While the header does contain a single link, you should be using a nested _nav_ element were their multiple links in use. As it stands now, a single link is fine withing a header. 
 
*Before:*
 
{code}<header role=""navigation""> ... </header>{code}
 
*After:*
 
{code}<header > ... </header>{code}","Verify that _user-scalable=""no""_ has been removed. Validate in Axe and also test with screen mgnification or mobile to see if user can zoom, etc.  ",https://radancy.dev/a11y/audit/client/erp/screengrab/A11YERP020.png,,"ERP_Global_Issue"", ""S4_Low"", ""Effort_Easy"", ""Multiple_Jobs_Landing""",Critical,Fail,Product Support,Failed in Preview,,,0
